probext,labelext,probext,labelext,probext,labelext,probext,labelext,probext,labelext,probext,labelext,probext,labelext
0.144,1,0.19,1,0.246,1,0.224,1,0.24,1,0.26,1,0.26,1
0.65,1,0.68,1,0.346,1,0.638,1,0.5,1,0.53,1,0.595,1
0.014,1,0.126666667,1,0.134,1,0.152,1,0.085,1,0.2225,1,0.16,1
0.022,1,0.08,1,0.198,1,0.102,1,0.175,1,0.24,1,0.18,1
0.106,1,0.14,1,0.298,1,0.192,1,0.25,1,0.2775,1,0.185,1
0.036,1,0.13,1,0.306,1,0.096,1,0.235,1,0.26,1,0.16,1
0.294,1,0.38,1,0.414,1,0.376,1,0.34,1,0.4275,1,0.43,1
0.484,1,0.28,1,0.392,1,0.386,1,0.44,1,0.355,1,0.3825,1
0.316,1,0.403333333,1,0.474,1,0.46,1,0.45,1,0.5425,1,0.445,1
0.374,1,0.163333333,1,0.352,1,0.288,1,0.41,1,0.305,1,0.3075,1
0.244,1,0.286666667,1,0.358,1,0.388,1,0.31,1,0.4325,1,0.3625,1
0.038,1,0.083333333,1,0.114,1,0.078,1,0.065,1,0.11,1,0.1175,1
0.184,1,0.233333333,1,0.222,1,0.26,1,0.17,1,0.3075,1,0.2725,1
